,title,hits
68,튤립의 바다에서 헤엄치다 - 안면도 세계튤립꽃박람회 -해산강(海山江) travel,2716
506,#안면도 #꽃지해수욕장 다녀왔지 #콜벳C7 #콜벳C8 #corvette,2694
242,[해루질체험]안면도 신야리 박하지가 많이 날라다녀서 수확하듯 집게질만 잘하면 됩니다.(안면도덤앤더머펜션 010-2827-5552)#아름다운청년,2686
616,#안면도#갈매기#부서지는 파도앞에 선 시바짱구의 이상한 행동 #짱포ㅋ😵🤣,2673
510,[면도네집]자기집을 너무 잘지키는 안면도펜션똥개(안면도덤앤더머펜션.010-2827-5552)#shorts#아름다운청년,2620
526,#히트좌대#좌대낚시터#태안#창리포구#안면도,2576
400,공작의날개는 튜울립 #안면도 # 꽃지해수욕장,2573
314,육지에서 섬이 된 안면도의 최고 수혜자는 소나무들 #shorts 안면송 소나무들의 갈라파고스 군도가 된 안면도 충남 보령 해저터널 5,2554
95,안면도 부동산 / 안면도 창기리 아스팔트 포장 도로 변 농막. 주말농장.보트보관소 최적지 !!!,2548
121,안면도체험낚시 황금백호 타고 우럭낚시 다녀왔습니다.,2537
388,#안면도배낚시 #안면도낚시 #우럭댄스 #황금백호,2482
496,안면도 연육교 학꽁치,2451
570,안면도 쭈꾸미낚시! 애기로 우럭을 낚아버리는 그걸님~😆😆😆,2407
230,안면도체험낚시 우럭배낚시,2401
501,[해루질체험]안면도 삼봉해수욕장에 꽃게가 날라다니네요.아쉽지만 금어기 시작이라 가을꽃게를 기다립니다.(안면도덤앤더머펜션.010-2827-5552)#아름다운청년,2388
206,#알쭈꾸미#안면도#구매항#무지개좌대#두족류,2370
255,70세 할머니 광어 다운샷 10마리째 안면도 하늘에펜션,2348
357,#권설경 #사랑아 #안면도축제,2250
73,안면도해수욕장 주먹소라 포인트 따로있어요!!,2219
580,고등어낚시 서해 바다좌대 낚시 (태안군 안면도 구매항),2164
556,#shorts 미친 조과 안면도 떼붕어는 이렇게 잡는 거야 모든 영상에는 포인트가 공개되어있습니다 #민물붕어 #낚시터 #월척 #붕어,2127
339,수원 터미널 용우동# 고향집 안면도로 출발!♡#,2116
327,#안면도배낚시 #안면도낚시 #우럭배낚시 #황금백호 #내일더잘나오길,2112
70,안면도 1박 2일 3분 요약(feat. 아일랜드 리솜 일루글루) 🌅,2111
130,[안면도펜션]불멍은 역시 겨울이 제맛이지!#아름다운청년,2109
304,헛방❣️안면도 꽃지해변🐸20221210 - -,2057
79,안면도 ☆선빵 해루질의 중요성(만통해루질) #해루질,2048
247,바다앞 관광지 안면도 안면암 국내사찰 국내관광지 국내여행 충남가볼만한곳 안면도 볼거리 충남사찰 #shorts,2030
403,🐚쫄깃!달달한~제철 안면도 자연산 참소라 먹방😋GIANT TURBAN SHELL サザエ 栄螺 KOREAN SEAFOOD Real Sound ASMR,2023
4,"[태안 안면도 여행 BEST 10] 태안 안면도 가볼만한곳, 직접 촬영한 영상",1956
148,안면도 바다사랑 낚시 펜션 해주호!! #안면도 #배낚시 # 해주호,1952
88,안면도 4계절수영장이 있는 펜션매매,1921
340,"[shorts] 대하랑꽃게랑인도교, 안면도 인도교, 백사장항_Sia - Unstoppable",1905
338,안면도🦀튀김맛집은? 여기죠! 대하/꽃게/오징어 튀김까지 #안면도 #튀김 #꽃게,1851
170,태안 강아지가 좋아하는 핫플레이스 여행지 안면도 하늘지기 형제들🐾,1822
522,#반채원생일#23.2.4#안면도#게국지#양념게장#간장게장#새우장#해마다 오는 맛집#1차서천#2차대천#3차안면도#우리딸생일축하해#엄마딸로와줘서 고마워#,1818
133,안면도~,1778
38,안면도자연휴양림 | 객실 산책로 단지환경 탐방,1776
110,"(낚시)느나느나 백조기 낚시중 운좋게 ""인생첫돔"" 잡았어요! 안면도 황금백호 오후 시간배 #안면도 #서해낚시 #선상낚시 #백조기 #백조기",1749
46,"[나문재펜션] 안면도 가볼만한 곳, 안면도 최고의 여행지 Namoonjae Pension",1713
256,태안 안면도 아일랜드리솜 가족여행 #아일랜드리솜 #안면도 #태안여행,1704
0,'서해가 한눈에' 충남 안면도에 높이 51m 전망대 개관 [전국네트워크],1704
495,[갯벌체험]명주조개밭.안면도 삼봉해수욕장! (안면도덤앤더머펜션010-2827-5552)#아름다운청년,1678
334,#안면도 #첫사랑그님 #박정현 [인기가요] 첫사랑 그님 /박정현 작사 / 이현준 작곡 / 윤혜란 노래 / 영상편집 서미영♡ (사) 종합 문예 유성 신문 박정현기자,1666
300,안면도“오션뷰+수영장“펜션🏝️ #안면도펜션 #풀빌라 #뷰맛집 #바베큐 #아라가온 #태안여행,1654
365,[갯벌체험]안면도에서 가장 운수나쁜 낙지!미안하다!(안면도덤앤더머펜션010-2827-5552)#아름다운청년,1648
448,안면도 “피아노스파펜션”🎹🎶🛀 #안면도 #펜션 #바베큐 #곱창 #스파 #노을 #샛별해수욕장 #shorts #꽂지해수욕장,1630
474,"[안면도펜션]고객전용 텃밭""말복이농장""말복이가 키우는건 아닙니다.(안면도덤앤더머펜션)#아름다운청년",1601
363,빙글빙글 밥주세요 #shorts #태안 #딴뚝식당 #안면도 #마스크 #양갈래머리 #연예인 #싸인 #99년생,1596
617,주꾸미 금어기 -13 장마철 잘살고 있는지 확인하고 왔어요,1573
333,카시트 처음타고 태안여행해요~👶 #여행 #안면도 #해송향기펜션 #밧개해수욕장 #태안 #육아브이로그 #신생아 #영아 #shorts,1509
560,#부동산 #전원주택 #서해안 #서산 #당진 #태안 #단독주택 #부동산전망 #안면도,1483
12,태안 마검포항 광어 루어낚시 / 루어낚시는 포기하지않으면 무엇이라도 잡는다!! / 미션성공! /,1477
484,태안 마검포항 광어 루어낚시 / 루어낚시는 포기하지않으면 무엇이라도 잡는다!! / 미션성공! /,1475
575,🦐대하 크기 제대로 느껴지죠?-안면도에선 기본이쥬,1465
392,안면도수로 낚시#shorts,1447
354,안면도 수산시장~! 새우~~ 냠냠요정^^,1437
83,안면도 여행시 필수 액티비티! 자연에서 달리는 심장 쫄깃 오프로드 카트! 태안 '꽃지카트장' / travelkorea #shorts,1436
306,안면도 낙지해루질 #shorts #해루질 #낙지,1423
553,#cafe #southkorea #family #원산도 #안면도 #바이더오카페 #bytheOcafe,1405
126,#안면도 꽃지# 나와함께가시렵니까💕,1373
562,#좋타🏖#안면도#shorts,1360
97,옥토원 다육#안면도 백사장#힐링하세요🥰💞,1354
28,"[안면도 백사장항] 태안 안면도 여행, 안면도 가볼만한곳, 꽃게다리, 드르니항",1352
331,소원이는 유투브촬영중ㅣ안면도 해수욕장ㅣ공소원 #Shorts,1343
150,"[shorts] 방포항, 꽃다리, 꽃지해수욕장, 안면도여행, 태안여행_Unstoppable (Sia)",1268
294,안면도 수산 로컬푸드 11시 뷔페 시작,1261
63,[VLOG] 안면도 미로공원에 다녀왔습니다~ 쉽게 생각하면 안됨!,1251
203,"[shorts] 태안세계튤립꽃박람회, 04.12.(수)~05.07.(일), 안면도, 꽃지해수욕장, 2023 KoreaTaean World Tulip Flower Fair,해저터널",1241
161,안면도 ATV 꽃지 레포츠 4륜 오토바이 체험 | 태안에서 아이와 함께 즐길 수 있는 이색 데이트 익사이팅 스포츠 추천,1230
264,내 사랑 안면도 박정현/작사 이현준/작곡 한다원/노래 (인기가요) (안면도 관광노래) 종합 문예 유성 신문 본부장 박정현 기자 #안면도 #인기가요 #안면도관광노래 #시인,1226
120,안면도,1209
52,태안 원산안면대교 안면도 영목항전망대 운여해변 | 태안명소 태안가볼만한곳 태안볼거리 | 드론촬영(Drone shot 4k) Welcome-fly,1196
447,혼자놀기#Shorts#안면도#황영웅ㅡ백년의약속#yeonpa#머리카락바람에주고,1172
59,"(41-0120) 해수욕장 바로 앞, 안면도 계획관리 토지",1171
132,[참돔 타이라바로 바닥에서 잡기] 안면도 대야도항에서 참돔전문배타고 시즌 첫 참돔을 잡았어요.#뉴복성호 #태안참돔낚시,1169
289,안면도 섬#여행#흉가방송#,1165
353,🐾산책이 좋은 안면도 강아지 #실외견 #shorts,1160
32,"태안 안면도 1박 2일 여행 추천 / 태안 가볼만한곳 / 서울 근교여행 / 주말 여행지 추천 / 충청남도 / 일몰 명소, 일몰 맛집 /태안맛집/서해 바다/8, 9월 추천지👍👍👍",1154
250,안면도 바다조과,1153
405,펭토개 안면도 뿌시고 옴🔥,1134
652,"예약 필요 없는 15,000원 캠핑장",1125
370,[안면도여행]그대의 열정만큼 붉은 밧개해변의 일몰!(안면도덤앤더머펜션.010-2827-5552)#아름다운청년,1122
82,안면도 수산시장 해물시세 알아봤습니다.,1117
291,"안면도 꽃지해수욕장 바지락 해루질 영상, 직접잡은 바지락으로 칼국수까지! #안면도 #꽃지해수욕장 #해루질 #바지락 #조개캐기 #바지락칼국수 #칼국수 #낚시유튜브 #낚시유튜버",1116
290,안면도 복음횟집,1113
131,안면도 끝내주는 view에서 아내와 커피한잔,1109
483,"태안게스트하우스, 안면도게스트하우스 가을파티(버스킹)영상",1098
103,태안 안면도 맛집 버스대절 여행 🚍,1092
319,[라펍TV]안면도 갈매기의 1타2피!! / 안면도 백사장방파제 #shorts,1078
414,#shorts #안면도 칼국수#조개캐고#맛있다#친구들과여행,1047
381,[오늘의요리]안면도펜션 한손만 쓴 잡채(안면도덤앤더머펜션.010-2827-5552)#아름다운청년,1012
431,안면도 나문재,1005
178,안면도 가면-🐠물메기가 한마리 만원?-집에서도 먹기 딱!🦀🐠,1000
391,안면도 수산물 경매장에 이런 수산물도 크기가 옴청나네요👍🏻,994
646,꽃밥 드세요.| 인생은 뷰티풀 #김호중 #shorts,986
145,"#안면도,#승언1저수지",971
502,하룻밤 풋사랑(나훈아) #shorts #안면도 세계 꽃 박람회,957
129,안면도 갈때마다 들르게 되는 곳! 충남 가볼만한곳 안면도 볼거리 수목원 안면도여행 #shorts,955
541,[안말복]안면도펜션 시고르자브종 자세 참 죽이네! 개팔자 상팔자 (안면도덤앤더머펜션)#아름다운청년 #shorts,954
565,가수 백송이 고향 안면도 바닷가 특별공연및 엠비션TV 봄맞이 야유회 행사 - 가수 신안산 (바베큐 숮불구이),948
508,문턱을 넘지 못하는 치와와 사랑이 | 안면도 퍼피21애견펜션,934
193,안면도 여행 충남 태안군 안면읍 꽃지해안로 204 아일랜드 리솜리조트앞 해변에서..#안면도 #리솜리조트 #아일랜드리솜 #꽃지해수욕장,919
341,"#고향이좋아(김상진)by윤비스💘안면도 송림수목원,꽃지일몰💘#안면도#꽃지#김상진#추억가요#고향노래#감성가요",891
572,치와와 모녀 | 안면도 퍼피21애견펜션,879
324,"[shorts] 학암포해수욕장, 태안연행, 안면도여행_Unstoppable Sia(시아)",870
268,"[shorts] 서산나폴리펜션, 서산추천펜션, 안면도추천펜션, 커플, 수영장, 오션뷰, 갯벌체험",863
127,#안면도 #꽃지해수욕장 #할미할아비바위,856
166,"(shorts)안면도사랑마을펜션, 안면도펜션, 안면도추천펜션",856
396,#낚시 #루어낚시 #우럭 #자연식좌대 #좌대낚시 #태안 #안면도 #다이와 #핫핫 #대야도 #좌대낚시 #좌대,854
50,소나330 캠핑카 풀활용으로 즐기는 초가성비 안면도 여행!#노지차박#방포수산#길목식당#캠핑카#해수욕장 차박#무료캠핑,846
99,태안TV - 태안 안면도 영목항 전망대,846
96,#홈뜨랑 #충남태안 #안면도 #일몰맛집 #꽃게다리 #백사장항 #드르니항,834
91,이렇게 놀면 퍼팩트~⭐ 안면도여행 코스!!,832
355,피조개 득템!! #해루질 #안면도 #태안여행 #shorts,829
471,2022년 1월 2일 #꽃지해변#안면도,822
243,우리나라에서 6번째로 큰 섬! 이쁜 꽃 축제 명소! 안면도 여행🌸🏖️,814
227,스트릿 키드 (STREET KID) - 안면도,813
177,#국내여행 #홍도 #안면도 #태안 #바다,806
361,보령해저터널&안면대교🌉 #해저터널 #원산안면대교 #안면도가는길 #안면도 #태안 #달려라하니 🏇🏻🏃,803
571,태안 전원주택 700평 바다전망 통창이 철근콘크리트 2층 전원주택 바다전망토지도 분할거래 가능해요 태안 전원주택 2층 소나무가 싸는 지형의 언덕위 전원주택 태안전원주택 서산전원주택,798
514,갯벌장어 맛보는중 #장어 #갯벌장어 #안면도,791
210,태안 안면도 특이하고 이쁜 카페,783
563,[오늘의요리]안면도덤앤더머펜션(010-2827-5552) 직접잡은 봄 낙지로 고마운분들과 한잔합니다#아름다운청년,783
412,안면도세계튤립축제 당진북창초등학교18회소풍 林 수풀림푸른숲,756
312,안면대교#보령#안면도#원산도,756
168,안면도 바다사랑 낚시 펜션 해주2호!! #배낚시 #안면도 #안면도펜션,750
44,"충남 태안 안면도 🦀수산시장🐟 둘러보기/Visited Anmyeondo Fish Market in Taean-gun, South Korea",743
122,#안면도 #대하 #새우장,742
516,[해루질펜션]안면도덤앤더머펜션(010-2827-5552) 봄 낙지철이 돌아왔습니다..이참에 몸보신 좀 해야겠어요#아름다운청년,741
41,안면도에 괜찮은 카페 어디있지 🤨? 인생샷 찍기좋은 카페 모음 📷 / 안면도 현지인 추천 카페 ☕️,738
569,[갯벌체험]안면도덤앤더머펜션(010-2827-5552)자급자족! 조개넣고 된장찌게나 끊여야겠네!#펜션운영브이로그#해루질#아름다운청년,736
310,#여기는 #백신접종 #안면도,734
162,"[shorts] 방포항_꽃다리, 꽃지해수욕장, 안면도여행_Unstoppable (Sia)",724
411,[해루질체험]안면도 신야리바닷가 막잡히는 자연산 박하지&해삼.바다로 나가봅시다(안면도덤앤더머펜션.010-2827-5552)#아름다운청년,713
213,서해안면도쭈꾸미낚시/오천항X / 주꾸미 낚시 첫 출조!! / 가을엔 쭈꾸미 /강한 바람에도 이렇게나 많이?? / 주꾸미먹방!! / 선녀피싱 / 태안쭈꾸미낚시 [문라이어티캠낚TV ],710
350,태안 안면도 몽산포 #shorts,704
359,안면도아일랜드리솜리조트에서 바라본 아침바다 풍경♡#shorts,703
415,[이벤트]그냥 심심해서 하는 50%할인이벤트(안면도덤앤더머펜션)#아름다운청년,702
265,[안면도여행]봄바람부는 화창한날 조용한 황포해변.(안면도덤앤더머펜션.010-2827-5552)#아름다운청년,701
568,#안면도 #우럭낚시 #좌대낚시#무지개좌대,701
272,안면도바다좌대낚시 에기에 나온 낚지 2022년 11월 17일,685
335,[안면도펜션]수족관을 이전설치하였어요..해루질다니며 같이 드실 해산물 많이 잡아보겠습니다.(안면도덤앤더머펜션)#아름다운청년#해루질,674
387,#태안안면도#코스모스#shorts,664
153,[안면도펜션]2023년 수영장 개장합니다.즐거운여행이되시도록(안면도덤앤더머펜션)#아름다운청년,664
547,안면도 공룡 박물관#로보트타기,655
179,"#shorts 나폴리펜션, 서산푸천펜션, 안면도추천펜션",654
21,"낮과 밤 모두 즐길 거리, 태안 안면도를 가다! @ㅣ생방송 투데이(Live Today)ㅣSBS Story",654
156,안면도 갈때마다 들르게 되는 곳! 충남 가볼만한곳 안면도 수목원 안면도여행 #shorts,648
517,초혼 장윤정 #안면도 가는 길,637
111,#안면도해수욕장 #노을멋진곳 #대천어항,629
443,태안 안면도 좌대 낚시!! 😍😍 힐링 제대로 되네요!!😃😃 #Shorts,621
